11153,180,86.7666,8.7435,-79.12,-79.12
11153,180,86.7666,8.7435,-79.12,-79.12
11161,180,119.6574,8.7435,-77.68,-79.12
11161,180,119.6574,8.7435,-79.12,-79.12
11165,180,119.6574,8.9059,-79.12,-79.12
11165,180,119.6574,8.9059,-79.12,-79.12
11172,180,107.9229,8.9059,-79.12,-77.68
11172,180,107.9229,8.9059,-79.12,-79.12
11177,180,107.9229,8.5270,-79.12,-79.12
11177,180,107.9229,8.5270,-79.12,-79.12
11183,180,117.0878,8.5270,-79.12,-79.12
11183,180,117.0878,8.5270,-79.12,-77.68
11188,180,117.0878,8.6082,-79.12,-79.12
11189,180,117.0878,8.6082,-79.12,-79.12
11194,180,128.9079,8.6082,-79.12,-77.68
11194,180,128.9079,8.6082,-79.12,-79.12
11200,180,128.9079,8.4954,-79.12,-79.12
11200,180,128.9079,8.4954,-79.12,-79.12
11205,180,116.5739,8.4954,-79.12,-79.12
11205,180,116.5739,8.4954,-79.12,-79.12
11212,180,116.5739,8.9420,-79.12,-79.12
11212,180,116.5739,8.9420,-79.12,-79.12
11216,180,117.5161,8.9420,-79.12,-79.12
11216,180,117.5161,8.9420,-79.12,-79.12
11224,180,117.5161,8.7751,-79.12,-79.12
11224,180,117.5161,8.7751,-79.12,-79.12
11227,180,121.1135,8.7751,-79.12,-79.12
11227,180,121.1135,8.7751,-79.12,-79.12
11236,180,121.1135,8.6668,-79.12,-79.12
11236,180,121.1135,8.6668,-79.12,-79.12
11238,180,134.7323,8.6668,-79.12,-79.12
11238,180,134.7323,8.6668,-79.12,-79.12
11248,180,134.7323,8.9014,-79.12,-79.12
11248,180,134.7323,8.9014,-79.12,-79.12
11249,180,151.5203,8.9014,-79.12,-79.12
11249,180,151.5203,8.9014,-79.12,-79.12
11259,180,151.5203,9.0007,-79.12,-79.12
11260,180,151.5203,9.0007,-79.12,-79.12
11260,180,177.7302,9.0007,-79.12,-79.12
11260,180,177.7302,9.0007,-79.12,-79.12
11271,180,186.0385,9.0007,-79.12,-79.12
11271,180,186.0385,9.0007,-79.12,-79.12
11271,180,186.0385,9.6639,-79.12,-79.12
11271,180,186.0385,9.6639,-79.12,-79.12
11282,180,208.1370,9.6639,-79.12,-79.12
11282,180,208.1370,9.6639,-79.12,-79.12
11283,180,208.1370,8.7255,-79.12,-79.12
11283,180,208.1370,8.7255,-79.12,-79.12
11293,180,230.6638,8.7255,-79.12,-79.12
11293,180,230.6638,8.7255,-79.12,-79.12
11295,180,230.6638,9.0232,-77.68,-79.12
11295,180,230.6638,9.0232,-79.12,-79.12
11304,180,236.3169,9.0232,-79.12,-79.12
11304,180,236.3169,9.0232,-79.12,-79.12
